Date:;2021-10-26 11:43:46
Firmware Version:;0x0150;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x6064;0x6062;0x60F4;0x0000
Subindex:;0x00;0x00;0x00;0x00
Max. samples:;489
Recorded samples:;489
Sampling period:;8.000
Scale:;0;False;716.800;-27,302.000;24,434.800;30,169.200
Scale:;1;False;716.800;-27,302.000;24,434.800;30,169.200
Scale:;2;True;5.000;2.500;-22.500;17.500
Trigger:;0;0.000000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x6062;0x00;0.000000
;Position actual value;Position demand value;Following error actual value
ms;inc;inc;inc
3408.000;25251;25254;3
3416.000;25250;25254;4
3424.000;25251;25254;3
3432.000;25252;25254;2
3440.000;25252;25254;2
3448.000;25251;25254;3
3456.000;25251;25254;3
3464.000;25251;25254;3
3472.000;25252;25254;2
3480.000;25253;25254;1
3488.000;25253;25254;1
3496.000;25251;25254;3
3504.000;25250;25254;4
3512.000;25251;25254;3
3520.000;25253;25254;1
3528.000;25253;25254;1
3536.000;25252;25254;2
3544.000;25250;25254;4
3552.000;25251;25254;3
3560.000;25253;25254;1
3568.000;25253;25254;1
3576.000;25252;25254;2
3584.000;25250;25254;4
3592.000;25251;25254;3
3600.000;25252;25254;2
3608.000;25253;25254;1
3616.000;25253;25254;1
3624.000;25251;25254;3
3632.000;25250;25254;4
3640.000;25252;25254;2
3648.000;25253;25254;1
3656.000;25253;25254;1
3664.000;25252;25254;2
3672.000;25251;25254;3
3680.000;25251;25254;3
3688.000;25253;25254;1
3696.000;25253;25254;1
3704.000;25252;25254;2
3712.000;25251;25254;3
3720.000;25251;25254;3
3728.000;25252;25254;2
3736.000;25253;25254;1
3744.000;25253;25254;1
3752.000;25252;25254;2
3760.000;25251;25254;3
3768.000;25252;25254;2
3776.000;25253;25254;1
3784.000;25253;25254;1
3792.000;25253;25254;1
3800.000;25251;25254;3
3808.000;25251;25254;3
3816.000;25252;25254;2
3824.000;25253;25254;1
3832.000;25253;25254;1
3840.000;25253;25254;1
3848.000;25251;25254;3
3856.000;25251;25254;3
3864.000;25252;25254;2
3872.000;25253;25254;1
3880.000;25253;25254;1
3888.000;25253;25254;1
3896.000;25251;25254;3
3904.000;25251;25254;3
