Date:;2021-11-02 15:19:17
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
3937.600;7;0
3946.800;-24;0
3956.000;-50;0
3965.200;42;0
3974.400;-8;0
3983.600;-2;0
3992.800;-27;0
4002.000;17;0
4011.200;17;0
4020.400;4;0
4029.600;39;0
4038.800;-6;0
4048.000;26;0
4057.200;17;0
4066.400;-21;0
4075.600;13;0
4084.800;8;0
4094.000;-2;0
4103.200;-5;0
4112.400;1;0
4121.600;20;0
4130.800;-30;0
4140.000;33;0
4149.200;-14;0
4158.400;7;0
4167.600;1;0
4176.800;11;0
4186.000;11;0
4195.200;-2;0
4204.400;11;0
4213.600;-2;0
4222.800;-2;0
4232.000;-24;0
4241.200;26;0
4250.400;23;0
4259.600;29;0
4268.800;11;0
4278.000;-14;0
4287.200;4;0
4296.400;4;0
4305.600;-30;0
4314.800;23;0
4324.000;-2;0
4333.200;17;0
4342.400;4;0
4351.600;36;0
4360.800;-18;0
4370.000;-5;0
4379.200;-12;0
4388.400;-14;0
