Date:;2021-11-02 15:21:00
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
3468.400;-24;0
3477.600;11;0
3486.800;0;0
3496.000;32;0
3505.200;30;0
3514.400;33;0
3523.600;-22;0
3532.800;25;0
3542.000;-12;0
3551.200;-28;0
3560.400;10;0
3569.600;-17;0
3578.800;-12;0
3588.000;94;0
3597.200;22;0
3606.400;-39;0
3615.600;1;0
3624.800;-12;0
3634.000;-61;0
3643.200;-45;0
3652.400;14;0
3661.600;-16;0
3670.800;6;0
3680.000;-14;0
3689.200;-42;0
3698.400;13;0
3707.600;23;0
3716.800;14;0
3726.000;-32;0
3735.200;20;0
3744.400;25;0
3753.600;-27;0
3762.800;-14;0
3772.000;27;0
3781.200;-47;0
3790.400;-45;0
3799.600;-11;0
3808.800;17;0
3818.000;35;0
3827.200;-64;0
3836.400;-18;0
3845.600;-88;0
3854.800;37;0
3864.000;17;0
3873.200;-9;0
3882.400;5;0
3891.600;-10;0
3900.800;43;0
3910.000;5;0
3919.200;-39;0
3928.400;66;0
3937.600;-33;0
3946.800;-48;0
3956.000;-39;0
3965.200;13;0
3974.400;-69;0
3983.600;-17;0
3992.800;6;0
4002.000;-2;0
4011.200;20;0
4020.400;-40;0
4029.600;13;0
4038.800;-54;0
4048.000;-77;0
4057.200;-39;0
4066.400;-69;0
4075.600;20;0
4084.800;35;0
4094.000;-32;0
4103.200;-25;0
4112.400;-2;0
4121.600;-25;0
4130.800;20;0
4140.000;13;0
4149.200;13;0
4158.400;50;0
4167.600;88;0
4176.800;28;0
4186.000;-39;0
4195.200;-62;0
4204.400;28;0
4213.600;-2;0
4222.800;-17;0
4232.000;-2;0
4241.200;28;0
4250.400;-47;0
4259.600;28;0
4268.800;35;0
4278.000;-32;0
4287.200;5;0
4296.400;13;0
4305.600;-2;0
4314.800;-24;0
4324.000;-2;0
4333.200;-69;0
4342.400;35;0
4351.600;35;0
4360.800;-2;0
4370.000;-17;0
4379.200;50;0
4388.400;13;0
